address,area,baths,beds,building type,latitude,longitude,neighborhood,price
146-74 177th Street,N/A,3.0,6.0,Multi-family,40.66090012,-73.76920319,Springfield Gardens,749000.0
70-25 Yellowstone Boulevard #7B,N/A,1.0,N/A,Co-op,40.72200012,-73.84909821,Forest Hills,225000.0
92-29 Lamont Avenue #6F,N/A,1.0,2.0,Co-op,40.74549866,-73.87339783,Elmhurst,295000.0
66-15 Thornton Place #5M,950.0,1.0,2.0,Co-op,40.72309875,-73.85749817,Rego Park,359999.0
85-15 Main Street #PHQ,950.0,1.0,1.0,Co-op,40.70970154,-73.81880188,Briarwood,259000.0
58-27 84th Street,N/A,2.0,5.0,House,40.72900009,-73.87689972,Middle Village,995000.0
42-37 156th Street,2272.0,4.0,5.0,Multi-family,40.76010132,-73.80940247,Queensboro Hill,1390000.0
140-50 Burden Crescent #5H,900.0,1.0,1.5,Co-op,40.71060181,-73.81659698,Briarwood,239000.0
34-41 85th Street #6U,800.0,1.0,1.0,Co-op,40.75299835,-73.88179779,Jackson Heights,429000.0
60-36 70th Avenue,N/A,3.0,6.0,Multi-family,40.7018013,-73.89759827,Ridgewood,1150000.0
86-10 34th Avenue #113,1250.0,2.0,2.0,Co-op,40.75389862,-73.88079834,Jackson Heights,774000.0
4-74 48th Avenue #12C,800.0,1.0,1.0,Condop,40.74420166,-73.95680237,Hunters Point,665000.0
104-22 90th Avenue,1617.0,3.0,4.0,Multi-family,40.69300079,-73.84149933,Woodhaven,675000.0
219-18 Murdock Avenue,N/A,2.0,2.0,Townhouse,40.7030983,-73.73739624,Cambria Heights,429000.0
102-45 67th Rd #1,N/A,1.0,1.0,Co-op,40.7276001,-73.85050201,Forest Hills,219000.0
75-14 69th Rd,N/A,3.0,4.0,House,40.70840073,-73.87560272,Middle Village,1350000.0
83-55 Lefferts Boulevard #4D,N/A,1.0,1.0,Co-op,40.70470047,-73.83249664,Kew Gardens,217000.0
117-31 Inwood Street,1680.0,2.0,3.0,House,40.67910004,-73.7947998,South Jamaica,389000.0
71-38 Edsall Avenue,N/A,5.0,6.0,Multi-family,40.70619965,-73.88030243,Glendale,1500000.0
67-40 Yellowstone Boulevard #2O,N/A,1.0,1.0,Co-op,40.72729874,-73.84940338,Forest Hills,270000.0
63-61 99th Street #B12,850.0,1.0,1.0,Co-op,40.73139954,-73.85600281,Rego Park,335000.0
170-03 115th Avenue,N/A,3.0,5.0,Multi-family,40.68980026,-73.77890015,South Jamaica,749900.0
164-07 87th Street,N/A,1.0,3.0,House,40.64970016,-73.8431015,Rockwood Park,850000.0
103-25 68th Avenue #4L,N/A,1.0,1.0,Co-op,40.7262001,-73.84980011,Forest Hills,269000.0
2-40 51st Avenue #TH1C,1186.0,1.5,1.0,Condo,40.74229813,-73.9571991,Hunters Point,1198000.0
81-14 Queens Boulevard #5A,1020.0,2.0,2.0,Condo,40.737222,-73.881749,Elmhurst,750000.0
241-02 Weller Avenue,N/A,5.0,6.0,Multi-family,40.66189957,-73.7397995,Rosedale,879000.0
35-11 85th Street #4M,N/A,1.0,1.0,Co-op,40.75099945,-73.8812027,Jackson Heights,325000.0
25-37 45 Th Street,N/A,3.0,5.0,House,40.76499939,-73.90820313,Astoria,1350000.0
24-37 92nd Street,N/A,N/A,3.0,House,40.76490021,-73.87729645,East Elmhurst,779000.0
69-24 223rd Street,N/A,N/A,6.0,Multi-family,40.74319839,-73.75219727,Bayside,1599000.0
144-05 70th Rd,N/A,N/A,3.0,House,40.72900009,-73.82260132,Kew Gardens Hills,1195000.0
81-13 133rd Avenue,N/A,2.0,3.0,House,40.6739006,-73.854599,Ozone Park,450000.0
242-31 Oak Park Dr #B,1137.0,2.0,2.0,Condo,40.7466011,-73.73110199,Little Neck,699000.0
199-18 16th Avenue #26,N/A,1.0,2.0,Co-op,40.78310013,-73.79399872,Clearview,328888.0
