"address","area","baths","beds","buildingtype","latitude","longitude","neighborhood","price","borough","pricearea","coastdist"
"845 United Nations Plaza #52B",2835,3.5,3,"Condo",40.75249863,-73.96779633,"Turtle Bay",6750000,"manhattan",2380.95238095,226.554068965787
"157 W 57th Street #35F",2482,3.5,3,"Condo",40.76539993,-73.97910309,"Midtown",10500000,"manhattan",4230.45930701,998.527318013625
"352 West 56 #1C",6001,1,1,"Co-op",40.76290131,-73.98889923,"Hell's Kitchen",529000,"manhattan",88.1519746709,535.302330149156
"130 West 67th Street #6D",675,1,1,"Co-op",40.77479935,-73.98329926,"Lincoln Square",799000,"manhattan",1183.7037037,371.831458218737
"70 LaSalle Street #9F",1250,2,3,"Co-op",40.81240082,-73.95749664,"Morningside Heights",1100000,"manhattan",880,482.848588900719
"80 LaSalle Street #12H",724,1,1,"Co-op",40.81240082,-73.95870209,"Morningside Heights",665000,"manhattan",918.508287293,411.299698457007
"301 West 118th Street #7E",738,1,1,"Condo",40.80599976,-73.95459747,"South Harlem",795000,"manhattan",1077.23577236,895.548441913299
"146 West 57th Street #67B",1457,2.5,2,"Condo",40.76470184,-73.97930145,"Midtown",4995000,"manhattan",3428.27728209,1015.64024423251
"524 East 72nd Street #24F",474,1,1,"Condo",40.76589966,-73.95249939,"Lenox Hill",799000,"manhattan",1685.65400844,111.061663944747
"99 John Street #1807",754,1,1,"Condo",40.70819855,-74.0059967,"Fulton/Seaport",975000,"manhattan",1293.10344828,457.292373632169
"142 Fifth Avenue #PH",3500,3.5,4,"Co-op",40.739253,-73.991491,"Flatiron",7650000,"manhattan",2185.71428571,1149.44980154601
"389 East 89th Street #23B",1400,2,2,"Condo",40.779107,-73.948329,"Yorkville",2360000,"manhattan",1685.71428571,184.374599889334
"100 Overlook Terrace #511",950,1,2,"Co-op",40.856259,-73.934942,"Hudson Heights",647900,"manhattan",682,213.243098713976
"425 East 13th Street #2B",737,1.5,1,"Condo",40.73040009,-73.98190308,"East Village",1350000,"manhattan",1831.75033921,713.044576417658
"1600 Broadway #PH6A",889,1,1.5,"Condo",40.7602005,-73.98429871,"Midtown",1480000,"manhattan",1664.79190101,911.368628052747
"347 West 87th Street #4",2000,3.5,3,"Multi-family",40.79050064,-73.97899628,"Upper West Side",3450000,"manhattan",1725,29.9569754047336
"303 Greenwich Street #6CDE",2100,3,3,"Condo",40.71630096,-74.01049805,"Tribeca",3150000,"manhattan",1500,260.63811748246
"207 East 57th Street #3435B",2367,3,3,"Condo",40.76029968,-73.96690369,"Sutton Place",7200000,"manhattan",3041.82509506,493.13166317847
"40 East 94th Street #17G",1400,2,2,"Condo",40.78556,-73.954698,"Carnegie Hill",2100000,"manhattan",1500,808.271131695341
"100 East 53rd Street #49A",3385,3.5,3,"Condo",40.75849915,-73.97219849,"Midtown",13250000,"manhattan",3914.32791728,725.752703379132
"200 East 89th #8E",566,1,1,"Condo",40.78039932,-73.95240021,"Yorkville",755000,"manhattan",1333.92226148,474.069332850804
"160 West 12th Street #98",2452,3.5,3,"Condo",40.736827,-74.000158,"Greenwich Village",8995000,"manhattan",3668.43393148,629.809632402051
"870 West 181st Street #38",700,1,1,"Co-op",40.851129,-73.941085,"Hudson Heights",399000,"manhattan",570,2.18857474307685
"261 West 25th Street #6D",1849,2.5,3,"Condo",40.74649811,-73.99669647,"Chelsea",4495000,"manhattan",2431.04380746,640.276136946327
"15 William Street #46L",1592,3,3,"Condo",40.70539856,-74.01039886,"Financial District",2725000,"manhattan",1711.68341709,343.128725313046
"111 Murray Street #44WEST",2290,3.5,3,"Condo",40.71519852,-74.01249695,"Tribeca",9250000,"manhattan",4039.30131004,131.716447473578
"302 East 96th Street #PH2S",1015,2,2,"Condo",40.78379822,-73.94670105,"Yorkville",1995000,"manhattan",1965.51724138,269.193937746387
"39 East 29th Street #26D",826,1,1,"Condo",40.74440002,-73.98410034,"NoMad",1850000,"manhattan",2239.7094431,886.323622163
"210 East 73rd Street #6E",1800,3,3,"Co-op",40.76990128,-73.95939636,"Upper East Side",2295000,"manhattan",1275,450.726870473576
"151 East 85th Street #8H",1646,2.5,2,"Condo",40.77909851,-73.95539856,"Upper East Side",3280000,"manhattan",1992.70959903,594.596167204288
"19 Wooster Street #TH2",2877,2.5,3,"Condo",40.72159958,-74.00379944,"Soho",6500000,"manhattan",2259.29787974,674.438294183328
"172 Madison Avenue #22A",1458,2.5,2,"Condo",40.74729919,-73.9835968,"Midtown South",3750000,"manhattan",2572.01646091,927.833278411836
"16 West 19th Street #PHBC",3894,4.5,3,"Condo",40.73939896,-73.99259949,"Flatiron",8995000,"manhattan",2309.96404725,1072.6542309387
"315 East 88th Street #3D",900,1,2,"Co-op",40.77899933,-73.94989777,"Yorkville",720000,"manhattan",800,272.658601847821
"162 East 2nd Street #B",450,1,1,"Co-op",40.72290039,-73.98500061,"East Village",499000,"manhattan",1108.88888889,788.175243501099
"300 East 62nd Street 1204/1205",1225,2,2,"Condo",40.7621994,-73.96279907,"Lenox Hill",1850000,"manhattan",1510.20408163,333.353436799869
"300 East 62nd Street #1204",820,1,1,"Condo",40.7621994,-73.96279907,"Lenox Hill",1195000,"manhattan",1457.31707317,333.353436799869
"157 West 57th Street #39C",1985,2.5,2,"Condo",40.765558,-73.978991,"Midtown",7599500,"manhattan",3828.46347607,998.529910576813
"80 John Street #16E",984,2,1,"Condo",40.70809937,-74.00679779,"Financial District",1099000,"manhattan",1116.8699187,473.947381111757
"73 Washington Place",8643,8,6,"Building",40.73210144,-73.99949646,"Greenwich Village",11950000,"manhattan",1382.62177485,780.737114820682
"416 Washington Street #2H",1676,3,3,"Condo",40.72240067,-74.01129913,"Tribeca",3800000,"manhattan",2267.30310263,134.653166528545
