"address","area","baths","beds","buildingtype","latitude","longitude","neighborhood","price","borough","pricearea","coastdist"
"150 Duane Street #4",1100,1,2,"Other type",40.71630096,-74.00830078,"Tribeca",1650000,"manhattan",1500,416.12752300415
"16 Sylvan Terrace",1425,2,2,"Townhouse",40.83449936,-73.93930054,"Washington Heights",1625000,"manhattan",1140.35087719,253.271807755799
"130 East 67th Street #4/5C",4200,3.5,5,"Co-op",40.76689911,-73.96430206,"Lenox Hill",8995000,"manhattan",2141.66666667,611.858667626424
"7 East 35th Street #6B",900,1.5,1,"Co-op",40.74900055,-73.98320007,"Midtown South",725000,"manhattan",805.555555556,974.297812657494
"122 East 93rd Street",3276,6,5,"Multi-family",40.78409958,-73.95310211,"Carnegie Hill",4999500,"manhattan",1526.0989011,657.980089271954
"363 East 76th Street #8L",900,1,2,"Co-op",40.77080154,-73.95439911,"Upper East Side",795000,"manhattan",883.333333333,198.612234940411
"318 West 47th Street #5",1313,2,2,"Condo",40.76070023,-73.98870087,"Hell's Kitchen",2450000,"manhattan",1865.95582635,636.809702828157
"310 W 114th Street #PH",2169,2.5,3,"Condo",40.80329895,-73.9571991,"South Harlem",2795000,"manhattan",1288.61226372,842.661372245858
"517 West 142nd Street",3738,3.5,4,"Multi-family",40.82400131,-73.95020294,"Hamilton Heights",2490000,"manhattan",666.131621188,479.823695788362
"200 West 108th Street #3G",800,1,2,"Co-op",40.80170059,-73.96520233,"Manhattan Valley",699000,"manhattan",873.75,427.683536800233
"62 Beach Street #5E",1743,3,3,"Condo",40.72029877,-74.00980377,"Tribeca",4e+06,"manhattan",2294.89386116,264.340068177117
"135 East 71st Street #6B",950,1,1,"Co-op",40.770013,-73.962953,"Lenox Hill",845000,"manhattan",889.473684211,660.840228607079
"420 East 55th Street #5P",962,1.5,2,"Co-op",40.7560997,-73.96260071,"Sutton Place",915000,"manhattan",951.143451143,73.1146787537135
"421 Hudson Street #717",1590,2,3,"Condo",40.72990036,-74.00730133,"West Village",3250000,"manhattan",2044.02515723,313.138878656874
"420 East 55th Street #8O",962,1,1,"Co-op",40.7560997,-73.96260071,"Sutton Place",865900,"manhattan",900.103950104,73.1146787537135
"252 South Street #35J",695,1,1,"Condo",40.71017456,-73.98931885,"Two Bridges",1420000,"manhattan",2043.16546763,103.273591001704
"33 West 56th Street #5B",1200,2.5,2,"Condo",40.76319885,-73.97609711,"Midtown",2475000,"manhattan",2062.5,1142.72912187695
"438 East 12th Street #5R",1604,3,3,"Condo",40.72900009,-73.98210144,"East Village",3450000,"manhattan",2150.87281796,701.180099539663
"39 Bradhurst Avenue",3024,3.5,4,"Multi-family",40.8227005,-73.9437027,"Central Harlem",1950000,"manhattan",644.841269841,319.239433642303
"1820 Madison Avenue #8B",913,1,2,"Co-op",40.80160141,-73.94400024,"South Harlem",649000,"manhattan",710.843373494,727.622124785881
"75 Kenmare Street #2H",601,1,1,"Condo",40.72129822,-73.99620056,"Nolita",1695000,"manhattan",2820.29950083,1215.57046759178
"85 West 119th Street",4400,3,8,"Townhouse",40.80390167,-73.94740295,"South Harlem",2425000,"manhattan",551.136363636,931.392238630381
"25 Sutton Place South #12P",1500,2,2,"Co-op",40.75619888,-73.96089935,"Sutton Place",1625000,"manhattan",1083.33333333,21.1839703006662
"180 W 58th Street #9B",1100,1,1,"Co-op",40.76580048,-73.97930145,"Midtown",1675000,"manhattan",1522.72727273,970.689417989364
"20 Pine Street #PH42A",1865,2,3,"Condo",40.70769882,-74.00980377,"Financial District",3450000,"manhattan",1849.86595174,407.607699849775
"153 West 126th Street",2778,4,4,"Multi-family",40.80929947,-73.94680023,"Central Harlem",2600000,"manhattan",935.92512599,703.055983598378
"272 West 86th Street #3W",2555,3,4,"Condo",40.78839874,-73.97720337,"Upper West Side",4750000,"manhattan",1859.09980431,215.44599686618
"272 West 86th Street #3E",2298,3,3,"Condo",40.78839874,-73.97720337,"Upper West Side",4250000,"manhattan",1849.43429069,215.44599686618
"66 Madison Avenue #7BC",1100,2,2,"Co-op",40.74369812,-73.98629761,"NoMad",1920000,"manhattan",1745.45454545,1049.6936198134
"240 East 47th Street #11BC",2600,4.5,4,"Condo",40.752907,-73.970363,"Turtle Bay",3995000,"manhattan",1536.53846154,391.578560262203
"140 West 22nd Street #3D",909,1.5,1,"Condo",40.74269867,-73.99510193,"Chelsea",1550000,"manhattan",1705.17051705,832.014793773298
"30 Orchard Street #PHA",1488,2.5,2,"Condo",40.71559906,-73.99140167,"Chinatown",3145000,"manhattan",2113.57526882,612.784306607938
"425 West 50th Street #11H",934,1,1,"Condo",40.764356,-73.990137,"Hell's Kitchen",1695000,"manhattan",1814.7751606,404.341167728499
"100 Barrow Street #4D",1782,2.5,2,"Condop",40.73199844,-74.00749969,"West Village",3372000,"manhattan",1892.25589226,252.448756093927
"100 Barrow Street #9A",1788,2.5,2,"Condop",40.73199844,-74.00749969,"West Village",4799990,"manhattan",2684.55816555,252.448756093927
"215 East 96th Street #25A",997,2,2,"Condop",40.78499985,-73.9484024,"Yorkville",1050000,"manhattan",1053.15947844,415.735902536935
"50 Orchard Street #3B",1205,2,2,"Condo",40.71640015,-73.99079895,"Lower East Side",1795000,"manhattan",1489.62655602,659.855062521248
"114 Liberty Street 10TH-FLOOR",5362,6,6,"Condo",40.70980072,-74.01229858,"Financial District",7995000,"manhattan",1491.04811637,207.134267707924
"15 Hudson Yards #25H",2221,3,3,"Condo",40.754661,-74.003783,"Hudson Yards",6370000,"manhattan",2868.07744259,14.219015191509
"15 Hudson Yards #71F",1729,2.5,2,"Condo",40.754661,-74.003783,"Hudson Yards",4970000,"manhattan",2874.49392713,14.219015191509
"306 East 81st Street",4100,3,4,"Multi-family",40.77429962,-73.9536972,"Yorkville",5950000,"manhattan",1451.2195122,300.658104950727
"181 East 65th Street #17D",1404,2.5,2,"Condo",40.765522,-73.964029,"Lenox Hill",2999999,"manhattan",2136.7514245,539.927616751649
"380 Rector Place #2B",1000,2,2,"Condo",40.70924,-74.018075,"Battery Park City",1280000,"manhattan",1280,195.281281985506
"128 Bank Street",3000,2.5,4,"Townhouse",40.73609924,-74.00789642,"West Village",8950000,"manhattan",2983.33333333,133.25060277885
"85 Charles Street",4928,4.5,5,"Townhouse",40.73479843,-74.00450134,"West Village",15500000,"manhattan",3145.29220779,387.806030893949
"21 East 61st Street #6A",1125,2,2,"Condop",40.76530075,-73.97059631,"Lenox Hill",3495000,"manhattan",3106.66666667,910.48556128132
"720 Fort Washington Avenue #CD",1800,2,3,"Co-op",40.85779953,-73.93440247,"Hudson Heights",950000,"manhattan",527.777777778,204.928652215107
"417 East 84th Street",6000,6.5,4,"Townhouse",40.77539825,-73.94940186,"Yorkville",9e+06,"manhattan",1500,97.2045526268328
"101 West 78th Street #5A",4820,4.5,4,"Condo",40.78160095,-73.97619629,"Upper West Side",12695000,"manhattan",2633.81742739,530.941004089064
"402 East 90th Street #6F",844,1,1,"Condo",40.77899933,-73.9469986,"Yorkville",849000,"manhattan",1005.92417062,101.829580464555
"10 West Street #26A",2386,2.5,4,"Condo",40.70560074,-74.01750183,"Battery Park City",4500000,"manhattan",1886.00167645,113.317210207598
"580 Park Avenue #11B",2400,3,3,"Co-op",40.765864,-73.968066,"Lenox Hill",5400000,"manhattan",2250,787.202677406557
"252 7th Avenue #8H",3256,3,3,"Condo",40.74530029,-73.99549866,"Chelsea",7250000,"manhattan",2226.65847666,746.801623392614
"400 West 12th Street #3D",1941,3,3,"Condo",40.73740005,-74.00939941,"West Village",6500000,"manhattan",3348.78928387,4.14457889704372
"50 West 30th Street #10A",1266,2,2,"Condo",40.74689865,-73.98930359,"NoMad",2585000,"manhattan",2041.86413902,1121.29508333252
"105 Bennett Avenue #12B",810,1,1,"Condo",40.85359955,-73.93470001,"Hudson Heights",539000,"manhattan",665.432098765,302.619853957645
"50 Morningside Drive #64",1285,1.5,2,"Co-op",40.80569839,-73.95999908,"Morningside Heights",1485000,"manhattan",1155.64202335,586.248574310163
"400 East 67th Street #22A",1981,3.5,3,"Condo",40.7643013,-73.95819855,"Lenox Hill",4500000,"manhattan",2271.5800101,153.160438607208
"415 Greenwich Street #PHC",3800,4.5,4,"Condo",40.72169876,-74.0094986,"Tribeca",10995000,"manhattan",2893.42105263,270.031894217024
"438 East 12th Street #5C",1218,2.5,2,"Condo",40.72900009,-73.98210144,"East Village",2395000,"manhattan",1966.33825944,701.180099539663
"25 Central Park West #8B",1298,2,2,"Condo",40.770401,-73.98090363,"Lincoln Square",3200000,"manhattan",2465.33127889,690.003542159876
"1001 Fifth Avenue #3BC",2200,2.5,3,"Co-op",40.778616,-73.962217,"Upper East Side",4995000,"manhattan",2270.45454545,968.97453270622
"421 Hudson Street #610",1800,2.5,3,"Condo",40.72990036,-74.00730133,"West Village",4999000,"manhattan",2777.22222222,313.138878656874
"100 West 141st Street #76",1000,1,4,"Co-op",40.81790161,-73.93859863,"Central Harlem",499999,"manhattan",499.999,81.6085491885012
"60 White Street #PHE",3078,4,3,"Condo",40.71839905,-74.00360107,"Tribeca",9275000,"manhattan",3013.32033788,724.848278818763
"60 White Street #2E",1943,2.5,2,"Condo",40.71839905,-74.00360107,"Tribeca",4625000,"manhattan",2380.33968091,724.848278818763
"302 East 96th Street #401",522,1,1,"Condo",40.78379822,-73.94670105,"Yorkville",915000,"manhattan",1752.87356322,269.193937746387
"45 East 89th Street #40EFG",2500,3,4,"Condop",40.783103,-73.957164,"Carnegie Hill",6350000,"manhattan",2540,858.934554155361
"1400 Fifth Avenue #5I",1046,2,2,"Condo",40.80049896,-73.94740295,"South Harlem",830000,"manhattan",793.499043977,953.737977338279
"50 Gramercy Park North #12B",2032,2.5,2,"Co-op",40.73860168,-73.98609924,"Gramercy Park",5500000,"manhattan",2706.69291339,1032.93629864854
"5 Franklin Place #6A",1967,3.5,3,"Condo",40.71780014,-74.00350189,"Tribeca",3980000,"manhattan",2023.3858668,738.674948156818
"157 West 57th Street #77",6240,4.5,4,"Condo",40.76539993,-73.97910309,"Midtown",5.2e+07,"manhattan",8333.33333333,998.527318013625
"15 Hubert Street #2A",2488,2.5,2,"Condo",40.72119904,-74.00959778,"Tribeca",4495000,"manhattan",1806.67202572,268.689772996101
"241 Fifth Avenue #5B",1722,3.5,3,"Condo",40.74420166,-73.98719788,"NoMad",3395000,"manhattan",1971.54471545,1116.93411510563
"207 West 79th Street #8A",2403,4.5,4,"Condo",40.783628,-73.978772,"Upper West Side",6550000,"manhattan",2725.75946733,301.76220554432
"141 West 26th Street #5FL",2753,2,4,"Co-op",40.74560165,-73.99279785,"Chelsea",3125000,"manhattan",1135.12531784,919.021792587677
"25 Central Park West #11E",1686,2,2,"Condo",40.770401,-73.98090363,"Lincoln Square",3950000,"manhattan",2342.8232503,690.003542159876
"111 E 56th Street #804",900,1,1,"Other type",40.76079941,-73.97029877,"Midtown",825000,"manhattan",916.666666667,709.748802520743
"252 East 57th Street #64B",3307,4.5,4,"Condo",40.75920105,-73.96620178,"Sutton Place",1.2e+07,"manhattan",3628.66646507,407.756585277451
"101 Warren Street #2660",2180,3,3,"Condo",40.71569824,-74.01229858,"Tribeca",4995000,"manhattan",2291.28440367,140.074173939444
"1399 Park Avenue #6F",760,1,1,"Condo",40.791455,-73.948642,"East Harlem",875000,"manhattan",1151.31578947,678.491708395715
"1399 Park Avenue #9A",884,2,2,"Condo",40.791455,-73.948642,"East Harlem",1125000,"manhattan",1272.62443439,678.491708395715
"12 West 96th Street #2A",2175,2.5,3,"Co-op",40.79169846,-73.96549988,"Upper West Side",2495000,"manhattan",1147.12643678,786.141380698995
"309 West 104th Street #3B",1141,1,2,"Co-op",40.80080032,-73.97000122,"Upper West Side",1150000,"manhattan",1007.8878177,176.664219909159
"245 West 99th Street #15A",2349,3,4,"Condo",40.79700089,-73.97080231,"Upper West Side",4e+06,"manhattan",1702.85227756,271.960440218987
"52 Wooster Street #PH",4270,4.5,4,"Condo",40.72269821,-74.00219727,"Soho",14800000,"manhattan",3466.04215457,775.327184069419
"400 Park Avenue South #25C",2665,3,3,"Condo",40.74330139,-73.98470306,"NoMad",4984990,"manhattan",1870.54033771,930.786904147686
"500 Grand #B5B",800,1,1,"Co-op",40.71530151,-73.98259735,"Lower East Side",659000,"manhattan",823.75,315.912842903414
"50 West Street #12B",1087,1,1,"Condo",40.70769882,-74.01499939,"Financial District",1975000,"manhattan",1816.92732291,39.9108740100734
"50 Gramercy Park North #15AB",3809,2.5,3,"Co-op",40.73860168,-73.98609924,"Gramercy Park",8250000,"manhattan",2165.92281439,1032.93629864854
"130 East 94th Street #1E",1000,1,2,"Co-op",40.7845993,-73.95249939,"Carnegie Hill",849999,"manhattan",849.999,641.715405936767
"66 West 87th Street",4623,4.5,4,"Townhouse",40.78689957,-73.9713974,"Upper West Side",8900000,"manhattan",1925.15682457,616.525404117778
"134 Charles Street",13328,8.5,6,"Multi-family",40.73400116,-74.00779724,"West Village",49500000,"manhattan",3713.98559424,187.350174900955
"100 Barrow Street #9A",1788,2.5,2,"Condop",40.73199844,-74.00749969,"West Village",4799990,"manhattan",2684.55816555,252.448756093927
"56 Leonard #41EAST",2648,3.5,3,"Condo",40.71770096,-74.00640106,"Tribeca",8400000,"manhattan",3172.20543807,534.645946007625
"1474 Third Avenue #15N",1310,2,2,"Condo",40.77719879,-73.95559692,"Upper East Side",1750000,"manhattan",1335.8778626,528.628221095671
"255 East 49th Street #15D",1351,2,2,"Condo",40.75460052,-73.96910095,"Turtle Bay",1995000,"manhattan",1476.68393782,387.703155593993
"45 East 22nd Street #35B",1530,2,2,"Condo",40.73989868,-73.98729706,"Flatiron",5500000,"manhattan",3594.77124183,1122.65563168879
"427 West 154th Street #9",870,1,2,"Condo",40.83069992,-73.94270325,"Hamilton Heights",610000,"manhattan",701.149425287,325.009186076592
"415 East 37th Street #11N",871,1,1,"Condo",40.74560165,-73.97129822,"Murray Hill",975000,"manhattan",1119.40298507,147.617648784933
"721 Fifth Avenue #39H",1058,1.5,1,"Condo",40.762308,-73.973977,"Midtown",2500000,"manhattan",2362.9489603,983.865480903367
"425 West 53rd Street #TH417",2767,4.5,4,"Condo",40.765944,-73.988413,"Hell's Kitchen",4750000,"manhattan",1716.6606433,438.888520234656
"407 Park Avenue South #7AB",1700,2,3,"Co-op",40.74340057,-73.9835968,"NoMad",2199000,"manhattan",1293.52941176,848.436748063218
"25 Sutton Place South #19H",1400,2,2,"Co-op",40.75619888,-73.96089935,"Sutton Place",1625000,"manhattan",1160.71428571,21.1839703006662
"635 West 42nd Street #2T",3250,2,3,"Condo",40.76200104,-73.99980164,"Hell's Kitchen",3500000,"manhattan",1076.92307692,57.1867380977806
"200 East 69th Street #12E",774,1.5,1,"Condo",40.76729965,-73.96179962,"Lenox Hill",1350000,"manhattan",1744.18604651,483.555266174833
"101 West 67th Street #52E",878,1.5,1,"Condo",40.7745018,-73.98139954,"Lincoln Square",2370000,"manhattan",2699.3166287,493.645923845564
"252 South Street #67H",679,1,1,"Condo",40.71017456,-73.98931885,"Two Bridges",1611000,"manhattan",2372.60677467,103.273591001704
"137 East 36th Street #19C",750,1,1,"Co-op",40.74769974,-73.97840118,"Murray Hill",775000,"manhattan",1033.33333333,643.824395671091
"207 West 79th Street #8A",2403,4.5,4,"Condo",40.783628,-73.978772,"Upper West Side",6550000,"manhattan",2725.75946733,301.76220554432
"875 West End Avenue #2E",1600,2,2,"Co-op",40.799657,-73.970445,"Upper West Side",1600000,"manhattan",1000,193.305045024315
"305 East 51st Street #3H",1156,2,1.5,"Condo",40.755574,-73.967522,"Turtle Bay",2150000,"manhattan",1859.8615917,336.139744772618
"300 East 71st Street #9N",1000,1,2,"Co-op",40.7677002,-73.95880127,"Lenox Hill",1150000,"manhattan",1150,326.591020402955
"2280 Frederick Douglass Boulevard #6C",988,2,2,"Condo",40.8083992,-73.95220184,"South Harlem",1200000,"manhattan",1214.57489879,947.540921819107
"167 East 61st Street #20D",1000,1.5,1,"Co-op",40.76330185,-73.96579742,"Lenox Hill",1475000,"manhattan",1475,551.612928081608
"160 Leroy Street NORTH6A",2046,3.5,3,"Condo",40.73020172,-74.01010132,"West Village",6300000,"manhattan",3079.17888563,120.664789877021
"220 Riverside Boulevard #3G",906,1.5,1,"Condo",40.77980042,-73.98760223,"Lincoln Square",1150000,"manhattan",1269.31567329,78.5201117225968
"220 Riverside Boulevard #5T",1150,2,2,"Condo",40.77980042,-73.98760223,"Lincoln Square",1775000,"manhattan",1543.47826087,78.5201117225968
"159-34 Riverside Drive West #2B",1275,2,2,"Co-op",40.837015,-73.947805,"Washington Heights",1065000,"manhattan",835.294117647,133.320991776467
"301 West 53rd Street #20F",1049,2,3,"Condo",40.76459885,-73.98490143,"Hell's Kitchen",1930000,"manhattan",1839.84747378,696.612930167616
"75 East End Avenue #10G",1000,1,1,"Co-op",40.77249908,-73.94609833,"Yorkville",895000,"manhattan",895,211.917489696974
"5 Beekman Street #45A",1624,2.5,2,"Condo",40.71120071,-74.00689697,"Fulton/Seaport",3750000,"manhattan",2309.11330049,573.472185881945
"45 East 22nd Street #19A",2140,3,3,"Condo",40.73989868,-73.98729706,"Flatiron",5820000,"manhattan",2719.62616822,1122.65563168879
"188 East 70th Street #7D",832,1.5,1,"Condo",40.76839828,-73.96199799,"Lenox Hill",1399000,"manhattan",1681.49038462,539.813387423167
"125 West 21st Street #8A",1758,2.5,3,"Condo",40.74229813,-73.99469757,"Chelsea",2895000,"manhattan",1646.75767918,867.892755829268
"424 East 52nd Street #8C",1247,2,2,"Co-op",40.75439835,-73.9641037,"Beekman",1475000,"manhattan",1182.83881315,90.5948949694197
"200 East 66th Street #C154",2417,3.5,3,"Condo",40.765496,-73.963144,"Lenox Hill",4995000,"manhattan",2066.61150186,487.716105297574
"300 East 59th Street #2901/2",2450,3.5,4,"Co-op",40.7602005,-73.96420288,"Sutton Place",3600000,"manhattan",1469.3877551,332.977371545155
"150 West 51st Street #1627",855,1,2,"Condo",40.76129913,-73.98269653,"Midtown",1150000,"manhattan",1345.02923977,958.897320081631
"100 West 39th Street #35C",501,1,1,"Condo",40.752851,-73.98597,"Midtown South",899000,"manhattan",1794.41117764,1115.67057606093
"409 East 50th Street",4000,4,5,"Multi-family",40.75389862,-73.96559906,"Beekman",5599000,"manhattan",1399.75,156.648740176483
"212 Fifth Avenue #21A",4155,4,4,"Condo",40.74349976,-73.98870087,"NoMad",18600000,"manhattan",4476.53429603,1228.59939254898
"1160 Third Avenue #14C",1810,3,4,"Co-op",40.767134,-73.962907,"Lenox Hill",1795000,"manhattan",991.712707182,540.804831077893
"16 West 40th Street #30B",2068,3,3,"Condo",40.752443,-73.982435,"Midtown South",6715000,"manhattan",3247.09864603,1070.47725716817
"92 Warren Street #PH",3026,2.5,3,"Condo",40.71559906,-74.01059723,"Tribeca",7950000,"manhattan",2627.23066755,261.597977227015
"3 Hanover Square #3D",1100,1,1,"Co-op",40.70489883,-74.00959778,"Financial District",998000,"manhattan",907.272727273,277.990077681071
"252 7th Avenue #4H",1628,2,2,"Condo",40.74530029,-73.99549866,"Chelsea",3e+06,"manhattan",1842.75184275,746.801623392614
"305 East 51st Street #16B",1518,2,2,"Condo",40.75540161,-73.96759796,"Turtle Bay",3149998,"manhattan",2075.09749671,333.499159260393
"385 First Avenue #8H",748,1,1,"Condo",40.736787,-73.979028,"Gramercy Park",1070000,"manhattan",1430.48128342,505.557455457927
"400 East 77th Street #5J",875,1,1,"Co-op",40.77059937,-73.95330048,"Upper East Side",610000,"manhattan",697.142857143,126.87372965472
"505 East 79th Street #9F",630,1,1,"Co-op",40.77130127,-73.94950104,"Yorkville",615000,"manhattan",976.19047619,64.0973863963873
"310 Lexington Avenue #8J",850,1,1,"Co-op",40.74879837,-73.978302,"Murray Hill",755000,"manhattan",888.235294118,682.907059272738
"166 East 63rd Street #6J",1202,2,2,"Condo",40.76399994,-73.96530151,"Lenox Hill",2100000,"manhattan",1747.08818636,551.415104438159
"680 West 204th Street #5B",1225,2,3,"Co-op",40.86750031,-73.92379761,"Inwood",687000,"manhattan",560.816326531,514.164258161486
"246 Spring Street #3303",2022,2.5,2,"Condo",40.72529984,-74.00540161,"Hudson Square",3500000,"manhattan",1730.95944609,519.03986762009
"885 Park Avenue #7A",4200,5,4,"Co-op",40.774976,-73.96062,"Upper East Side",10800000,"manhattan",2571.42857143,728.320710269039
"250 East 53rd Street #2104",1922,3,3,"Condo",40.75680161,-73.96759796,"Turtle Bay",3395000,"manhattan",1766.38917794,390.600249803209
"635 West 42nd Street #16G",800,1,1,"Condo",40.76200104,-73.99980164,"Hell's Kitchen",1325000,"manhattan",1656.25,57.1867380977806
"123 West 93rd Street #2E",750,1,1,"Co-op",40.791386,-73.969519,"Upper West Side",649999,"manhattan",866.665333333,559.293457183593
"10 Madison Square West #14E",2347,3.5,3,"Condo",40.74269867,-73.98960114,"Flatiron",7995000,"manhattan",3406.47635279,1196.68616673302
"105 Fifth Avenue #5AB",3163,2.5,3,"Co-op",40.73820114,-73.99150085,"Flatiron",5995000,"manhattan",1895.35251344,1172.62714319704
"77 West 55th Street #5G",800,1,1,"Condo",40.76300049,-73.9776001,"Midtown",1125000,"manhattan",1406.25,1183.46113147843
"140 Riverside Drive #8D",1269,2,2,"Co-op",40.79000092,-73.9803009,"Upper West Side",1549000,"manhattan",1220.64617809,28.7017597503442
"115 Payson Avenue #4A",750,1,1,"Co-op",40.86830139,-73.92610168,"Inwood",429000,"manhattan",572,428.829458081857
"305 West 16th Street #3D",771,1,1,"Condop",40.74140167,-74.00170135,"Chelsea",1550000,"manhattan",2010.37613489,423.879340382982
"121 West 20th Street #3C",1642,2,2,"Condo",40.74160004,-73.99490356,"Chelsea",2195000,"manhattan",1336.78440926,870.047153415604
"74 Bank Street",6000,3.5,5,"Townhouse",40.73649979,-74.00469971,"West Village",24500000,"manhattan",4083.33333333,336.114706404668
"382 Central Park West #18K",949,1,1,"Condo",40.79355,-73.965647,"Upper West Side",995000,"manhattan",1048.47207587,707.77052451931
"157 W 57th Street #43C",3466,4.5,4,"Condo",40.76539993,-73.97910309,"Midtown",17500000,"manhattan",5049.04789383,998.527318013625
"15 Broad Street #1600",1580,1,1,"Condo",40.70650101,-74.01059723,"Financial District",1749000,"manhattan",1106.96202532,365.086823573687
"130 Bradhurst Avenue #414",850,1,1,"Condop",40.82550049,-73.94100189,"Central Harlem",425000,"manhattan",500,142.236992145207
"160 East 22nd Street #15E",1540,2,3,"Condo",40.73809814,-73.98390198,"Gramercy Park",3875000,"manhattan",2516.23376623,869.08926526567
"74 Bank Street",6000,3.5,5,"Townhouse",40.73649979,-74.00469971,"West Village",24500000,"manhattan",4083.33333333,336.114706404668
"106 West 123rd Street #1",1785,2.5,2,"Multi-family",40.806487,-73.946663,"South Harlem",1849000,"manhattan",1035.85434174,784.910584450032
"252 South Street #30M",1123,2,2,"Condo",40.71017456,-73.98931885,"Two Bridges",2580000,"manhattan",2297.41763134,103.273591001704
"250 East 53rd Street #707",1780,2.5,3,"Condo",40.75680161,-73.96759796,"Turtle Bay",2695000,"manhattan",1514.04494382,390.600249803209
"55 Wall Street #730",1672,2,2,"Condo",40.7057991,-74.00930023,"Financial District",1950000,"manhattan",1166.26794258,346.943294069825
"184 Franklin Street #8",618,1,1,"Co-op",40.71960068,-74.0094986,"Tribeca",1050000,"manhattan",1699.02912621,293.865456766839
"252 South Street #37L",1123,2,2,"Condo",40.71017456,-73.98931885,"Two Bridges",2600000,"manhattan",2315.22707035,103.273591001704
"415 East 37th Street #28G",927,2,1,"Condo",40.74560165,-73.97129822,"Murray Hill",1300000,"manhattan",1402.37324703,147.617648784933
"333 East 92nd Street #4B",900,1,2,"Multi-family",40.781198,-73.947185,"Yorkville",750000,"manhattan",833.333333333,197.530651901912
"460 West 42nd Street #PH1J",1198,2,2,"Condo",40.75930023,-73.99530029,"Hell's Kitchen",4140000,"manhattan",3455.75959933,313.144955205588
"460 West 42nd Street #55L",701,1,1,"Condo",40.75930023,-73.99530029,"Hell's Kitchen",1806000,"manhattan",2576.31954351,313.144955205588
"460 West 42nd Street #58K",1266,2.5,2,"Condo",40.75930023,-73.99530029,"Hell's Kitchen",3570000,"manhattan",2819.90521327,313.144955205588
"140 East 63rd Street #6G",815,1.5,1,"Condo",40.76440048,-73.96620178,"Lenox Hill",1600000,"manhattan",1963.19018405,619.781771134336
"350 West 53rd Street #5D",713,1,1,"Condo",40.76490021,-73.98670197,"Hell's Kitchen",1095000,"manhattan",1535.76437588,580.353264108047
"400 West 12th Street #11A/B",3661,4.5,4,"Condo",40.73740005,-74.00939941,"West Village",17850000,"manhattan",4875.71701721,4.14457889704372
"77 Reade Street #3F",1497,2,2,"Condo",40.71490097,-74.00749969,"Tribeca",2899000,"manhattan",1936.53974616,488.733523079783
"90 Prince Street #FL4",2806,2.5,4,"Condo",40.72430038,-73.99849701,"Soho",4250000,"manhattan",1514.61154669,1018.95528913066
"25 Leonard Street #2",1800,2,2,"Condo",40.71870041,-74.00749969,"Tribeca",3200000,"manhattan",1777.77777778,445.543791382052
"215 Avenue B #5B",1078,2,2,"Condo",40.72880173,-73.97820282,"East Village",1775000,"manhattan",1646.567718,431.829156589811
"497 Greenwich Street #3A",2601,3,2,"Condo",40.725363,-74.009032,"Hudson Square",3995000,"manhattan",1535.94771242,261.440722160464
"345 West 14th Street #3A",1055,2,1,"Condo",40.74089813,-74.00440216,"Chelsea",2250000,"manhattan",2132.7014218,256.230574088322
"520 West 45th Street #1A",1901,3,3,"Condo",40.76179886,-73.99520111,"Hell's Kitchen",2800000,"manhattan",1472.90899527,216.642368668117
"45 Sutton Place South #16I",1600,2,2,"Co-op",40.75559998,-73.96140289,"Sutton Place",2395000,"manhattan",1496.875,16.506963514047
"20 Pine Street #605",1150,1,1,"Condo",40.70769882,-74.00980377,"Financial District",1195000,"manhattan",1039.13043478,407.607699849775
"15 William Street #19A",1325,2,2,"Condo",40.70539856,-74.01039886,"Financial District",1740000,"manhattan",1313.20754717,343.128725313046
"115 Norfolk Street #404",1061,2,2,"Condo",40.71929932,-73.98719788,"Lower East Side",1895000,"manhattan",1786.05089538,786.265832020995
"212 West 18th Street #PH3",6978,5,4,"Condo",40.74100113,-73.99880219,"Chelsea",3.8e+07,"manhattan",5445.68644311,625.150641363362
"368 W 117th Street #1F",1215,2,3,"Condo",40.80599976,-73.95760345,"South Harlem",1350000,"manhattan",1111.11111111,717.119205462336
"84 Mercer Street 5TH-FLOOR",4100,3,3,"Co-op",40.722836,-73.999997,"Soho",10900000,"manhattan",2658.53658537,929.453874640384
"13 West 13th Street #4DN",700,1,1,"Co-op",40.736004,-73.995138,"Greenwich Village",799000,"manhattan",1141.42857143,981.272372947379
"26 West 20th Street #2FL",2300,1,1,"Co-op",40.740173,-73.992685,"Flatiron",2495000,"manhattan",1084.7826087,1049.45089578595
"515 East 72nd Street #5F",736,1,1,"Condo",40.76689911,-73.95269775,"Upper East Side",1075000,"manhattan",1460.59782609,58.8404207413857
"330 East 38th Street #56K",1429,2,2,"Condo",40.74629974,-73.97270203,"Murray Hill",2479000,"manhattan",1734.77956613,257.252039748721
"330 East 38th Street #19I",763,1,1,"Condo",40.74629974,-73.97270203,"Murray Hill",1119000,"manhattan",1466.57929227,257.252039748721
"330 East 38th Street #51C",768,1,1,"Condo",40.74629974,-73.97270203,"Murray Hill",1275000,"manhattan",1660.15625,257.252039748721
"317 West 89th Street #6E",2700,3,4,"Condo",40.79140091,-73.97720337,"Upper West Side",4895000,"manhattan",1812.96296296,102.540346167301
"247 West 46th Street #1902",999,1.5,1,"Condo",40.75970078,-73.98750305,"Midtown",1575000,"manhattan",1576.57657658,746.848360194372
