address,area,baths,beds,building type,latitude,longitude,neighborhood,price
106-10 103rd Avenue,2185.0,1.0,3.0,House,40.68470001,-73.83540344,Woodhaven,529000.0
164-28 109th Dr,1035.0,2.0,4.0,House,40.69469833,-73.78659821,South Jamaica,299900.0
151 Beach 96th Street #6C,1239.0,2.0,2.0,Condo,40.58369827,-73.81739807,Rockaway All,599000.0
10 Holder Place #3D,1525.0,2.0,3.0,Co-op,40.71829987,-73.84279633,Forest Hills,1490000.0
61-20 Grand Central Pkwy #A405,1350.0,2.0,3.0,Co-op,40.7378006,-73.84750366,Forest Hills,589000.0
91-66 110th Street,1134.0,2.5,3.0,Multi-family,40.69229889,-73.83630371,Richmond Hill,649000.0
27-28 Thomson Avenue #542,1178.0,1.5,1.0,Condo,40.74570084,-73.94180298,Hunters Point,1295000.0
27-21 44th Dr #2202,1263.0,2.0,3.0,Condo,40.7466011,-73.94159698,Hunters Point,1760000.0
25-26 78th Street,1723.0,2.0,3.0,Multi-family,40.76190186,-73.89060211,Jackson Heights,500000.0
67-76 Booth Street #2I,1100.0,1.0,2.0,Co-op,40.72449875,-73.85209656,Forest Hills,395000.0
73-11 Bell Boulevard #2B,800.0,1.0,1.0,Co-op,40.7397995,-73.75730133,Bayside,209900.0
83-80 118th Street #4N,975.0,1.0,2.0,Co-op,40.70479965,-73.83439636,Kew Gardens,288000.0
4-74 48th Avenue #30F,863.0,1.0,1.0,Condop,40.74420166,-73.95680237,Hunters Point,665000.0
27-21 44th Dr #2202,1263.0,2.0,3.0,Condo,40.7466011,-73.94159698,Hunters Point,1760000.0
14-21 Pinson Street,4000.0,4.0,6.0,House,40.60889816,-73.75509644,Far Rockaway,499000.0
198-07 Dunton Avenue #2B,670.0,1.0,1.0,Co-op,40.72090149,-73.76540375,Jamaica Estates,199000.0
61-05 39th Avenue #E4,745.0,1.0,1.0,Condo,40.74729919,-73.90219879,Woodside,555000.0
25-26 78th Street,1723.0,2.0,3.0,Multi-family,40.76190186,-73.89060211,Jackson Heights,500000.0
140-52 161st Street,1152.0,2.0,3.0,House,40.66870117,-73.77459717,Springfield Gardens,399000.0
140-52 161st Street,2042.0,2.0,3.0,House,40.66870117,-73.77459717,Springfield Gardens,399000.0
79-39 Calamus Avenue #4D,1194.0,3.0,3.0,Condo,40.73419952,-73.88549805,Elmhurst,609000.0
117-37 Van Wyck Expy,1552.0,2.0,3.0,House,40.67689896,-73.80180359,South Jamaica,330000.0
4-74 48th Avenue #31HJ,1560.0,2.0,3.0,Condop,40.74420166,-73.95680237,Hunters Point,1299000.0
10-27 47th Road #PHB,1581.0,3.0,3.0,Condo,40.74480057,-73.95220184,Hunters Point,2175000.0
4238 Judge Street #5B,780.0,2.0,1.0,Condo,40.7439003,-73.88009644,Elmhurst,499000.0
67-38 108th Street #C67,950.0,1.0,2.0,Co-op,40.72769928,-73.84770203,Forest Hills,399000.0
114-03 Inwood Street,1600.0,1.5,3.0,Townhouse,40.68500137,-73.79789734,Jamaica,150000.0
61-20 Grand Central Pkwy #A405,1350.0,2.0,3.0,Co-op,40.7378006,-73.84750366,Forest Hills,589000.0
38-25 Parsons Boulevard #7,1200.0,2.0,3.0,Co-op,40.76210022,-73.82180023,Murray Hill (Queens),558000.0
114-20 Queens Boulevard #E9,950.0,1.0,2.0,Co-op,40.71649933,-73.83480072,Forest Hills,359000.0
143-51 Franklin Avenue,2748.0,4.5,4.0,House,40.7582016,-73.8207016,Flushing,1680000.0
100-25 Queens Boulevard #4H,1400.0,2.0,3.0,Condo,40.72700119,-73.85230255,Forest Hills,750000.0
162-21 Powells Cove Boulevard #3E,1000.0,1.0,2.0,Co-op,40.79499817,-73.79850006,Beechhurst,379000.0
79-15 35th Avenue #4C,1050.0,1.0,2.0,Condo,40.75180054,-73.88690186,Jackson Heights,730000.0
91-16 Shorefront Pkwy #2H,1187.0,2.0,2.0,Condo,40.58459854,-73.81340027,Hammels,529000.0
10-27 47th Road #PHB,1581.0,3.0,3.0,Condo,40.74480057,-73.95220184,Hunters Point,2175000.0
144-07 Sanford Avenue #1D,800.0,1.0,1.0,Co-op,40.75930023,-73.82050323,Murray Hill (Queens),338000.0
137-33 68th Drive #B,665.0,1.0,2.0,Co-op,40.73109818,-73.82980347,Kew Gardens Hills,175000.0
140-50 Burden Crescent #5H,900.0,1.0,1.5,Co-op,40.71060181,-73.81659698,Briarwood,239000.0
64-20 Bell Boulevard,2328.0,2.0,3.0,House,40.74530029,-73.76080322,Bayside,950000.0
140-50 Burden Crescent #5H,900.0,1.0,1.5,Co-op,40.71060181,-73.81659698,Briarwood,239000.0
240-10 51st Avenue,4000.0,5.0,5.0,House,40.75989914,-73.74299622,Little Neck,2688000.0
21-10 44th Drive #3A,653.0,1.0,1.0,Condo,40.74779892,-73.9469986,Hunters Point,725000.0
91-16 Shorefront Pkwy #2H,1187.0,2.0,2.0,Condo,40.58459854,-73.81340027,Hammels,529000.0
4-74 48th Avenue #10B,1200.0,2.0,3.0,Co-op,40.74420166,-73.95680237,Hunters Point,875000.0
66-10 Thornton Place #4C,700.0,1.0,1.0,Co-op,40.72330093,-73.85829926,Rego Park,239888.0
22-20 77th Street #D1,772.0,1.0,1.0,Condo,40.76779938,-73.8927002,Astoria,425000.0
61-05 39th Avenue #4F,854.0,1.0,1.0,Condo,40.74729919,-73.90219879,Woodside,588000.0
27-28 Thomson Avenue #706,1348.0,2.0,1.0,Condo,40.74570084,-73.94180298,Hunters Point,1585000.0
33-44 93rd Street #6R,700.0,1.0,1.0,Co-op,40.75569916,-73.87539673,North Corona,205000.0
18-40 211th Street #3K,1100.0,1.0,2.0,Co-op,40.78030014,-73.7818985,Bay Terrace (Queens),295000.0
