address,area,baths,beds,building type,latitude,longitude,neighborhood,price
484 Sharrots Road,26000.0,12.0,1.0,Building,40.53749847,-74.23500061,Charleston,1900000.0
80 Bay Street Landing #1F,1864.0,2.5,2.0,Condo,40.6393013,-74.07409668,Saint George,789000.0
204 Lamport Boulevard,1026.0,1.0,3.0,House,40.59339905,-74.07679749,South Beach,497000.0
25 Sheridan Ct,2120.0,3.0,3.0,House,40.5605011,-74.1339035,Bay Terrace,819000.0
11 Temple Ct,1348.0,1.5,2.0,Townhouse,40.59289932,-74.18560028,Travis,399000.0
338 Clifton Avenue,1640.0,2.0,4.0,Multi-family,40.61119843,-74.07389832,Rosebank,448000.0
429 Raritan Avenue,780.0,1.0,3.0,House,40.58840179,-74.08660126,Dongan Hills,499000.0
9 Temple Ct,1348.0,1.5,2.0,House,40.5929985,-74.18569946,Travis,399999.0
569 Bard Avenue,1416.0,1.5,3.0,House,40.62950134,-74.10549927,Silver Lake,571000.0
290 Lake Avenue,1829.0,2.5,4.0,Multi-family,40.62919998,-74.15190125,Mariners Harbor,638000.0
484 Sharrots Road,26000.0,12.0,1.0,Building,40.53749847,-74.23500061,Charleston,1900000.0
80 Bay Street Landing #1F,1864.0,2.5,2.0,Condo,40.6393013,-74.07409668,Saint George,789000.0
145 Lincoln Avenue #4A,836.0,1.0,1.0,Condo,40.57910156,-74.10769653,Grant City,239000.0
330 Van Duzer Street,2012.0,2.0,5.0,House,40.63019943,-74.07900238,Tompkinsville,799000.0
120 Milden Avenue,7200.0,4.5,6.0,House,40.60789871,-74.09750366,Emerson Hill,2199000.0
1000 Arden Avenue,1400.0,2.5,3.0,House,40.5442009,-74.17639923,Annadale,535000.0
1225 Rockland Avenue,2322.0,2.5,5.0,Multi-family,40.59460068,-74.15820313,New Springville,799999.0
115 Overlook Ter,1980.0,1.0,3.0,House,40.60340118,-74.07820129,Grasmere,1290000.0
484 Sharrots Road,26000.0,12.0,1.0,Building,40.53749847,-74.23500061,Charleston,1900000.0
80 Bay Street Landing #1F,1864.0,2.5,2.0,Condo,40.6393013,-74.07409668,Saint George,789000.0
22 Pearsall Street,2104.0,2.5,3.0,House,40.59059906,-74.07460022,Arrochar,649999.0
189 Aspen Knolls Way #189,1354.0,1.5,2.0,Townhouse,40.56290054,-74.18419647,Arden Heights,354888.0
57 Adams Avenue,1920.0,2.0,4.0,Multi-family,40.58390045,-74.10469818,Dongan Hills,695000.0
10 Village Lane #2B,1356.0,1.0,3.0,Condo,40.54330063,-74.16870117,Eltingville,425000.0
886 Delafield Avenue,2340.0,3.0,6.0,Multi-family,40.62770081,-74.12819672,West Brighton,699000.0
272 Richmond Terr #1-2,3521.0,2.5,5.0,House,40.64730072,-74.08249664,Saint George,999999.0
175 Auburn Avenue,2808.0,5.0,6.0,Multi-family,40.61249924,-74.14759827,Graniteville,1149999.0
80 Bay Street Landing #1K,2250.0,2.5,3.0,Condo,40.6393013,-74.07409668,Saint George,718000.0
12 Sandy Lane,1100.0,2.5,3.0,Townhouse,40.50360107,-74.23770142,Tottenville,440000.0
484 Sharrots Road,26000.0,12.0,1.0,Building,40.53749847,-74.23500061,Charleston,1900000.0
80 Bay Street Landing #1F,1864.0,2.5,2.0,Condo,40.6393013,-74.07409668,Saint George,789000.0
19 Dorothy Street,2200.0,2.5,4.0,House,40.59889984,-74.1391983,Meiers Corners,775000.0
29 Lake Avenue,1188.0,1.0,2.0,House,40.63610077,-74.15029907,Mariners Harbor,349000.0
15 Cottontail Ct,5400.0,4.5,4.0,Multi-family,40.53549957,-74.17970276,Huguenot,1699000.0
550 Sheldon Avenue,2440.0,2.5,5.0,Multi-family,40.54180145,-74.19319916,Huguenot,978000.0
163 Livermore Avenue,1254.0,1.0,3.0,House,40.62009811,-74.13780212,Westerleigh,599000.0
484 Sharrots Road,26000.0,12.0,1.0,Building,40.53749847,-74.23500061,Charleston,1900000.0
80 Bay Street Landing #1F,1864.0,2.5,2.0,Condo,40.6393013,-74.07409668,Saint George,789000.0
33 Jerome Avenue,1185.0,2.0,3.0,House,40.59759903,-74.07659912,Dongan Hills,568888.0
160 Devon Loop #2,914.0,2.0,2.0,Condo,40.58069992,-74.16020203,New Springville,300000.0
48 Windham Loop #1A,670.0,1.0,1.0,Condo,40.57920074,-74.16239929,New Springville,260000.0
16 Travis Avenue,1830.0,2.5,3.0,House,40.58509827,-74.14810181,New Springville,549000.0
631 Ocean Terrace,3140.0,3.0,3.0,House,40.60620117,-74.10189819,Todt Hill,999900.0
28 Sprague Avenue,3062.0,3.5,4.0,House,40.51096344,-74.24012756,Tottenville,999900.0
672 Drumgoole Rd W,1690.0,1.5,4.0,House,40.55410004,-74.17739868,Annadale,614999.0
29 Dixon Avenue,1600.0,2.0,4.0,House,40.62829971,-74.14880371,Staten Island,429000.0
26 Ashley Lane,1870.0,2.5,2.0,Townhouse,40.54700089,-74.2181015,Rossville,424900.0
484 Sharrots Road,26000.0,12.0,1.0,Building,40.53749847,-74.23500061,Charleston,1900000.0
80 Bay Street Landing #1F,1864.0,2.5,2.0,Condo,40.6393013,-74.07409668,Saint George,789000.0
27 Kathy Place #1A,1000.0,1.0,1.0,Condo,40.57870102,-74.16300201,New Springville,298888.0
175 Overlook Avenue,1264.0,1.5,3.0,House,40.59500122,-74.10070038,Dongan Hills,775000.0
34 Dominick Ln,5000.0,3.5,4.0,Multi-family,40.52429962,-74.17160034,Annadale,2399000.0
56 Raritan Avenue #3,1344.0,2.5,3.0,Townhouse,40.59329987,-74.0970993,Dongan Hills,525000.0
132 Lander Avenue #3,1260.0,2.5,3.0,Townhouse,40.61360168,-74.16349792,Graniteville,548000.0
21 Nixon Avenue,3700.0,4.0,5.0,House,40.63259888,-74.0821991,Tompkinsville,1195000.0
21D Signs Road #21D,952.0,1.5,2.0,Condo,40.60269928,-74.16359711,Bulls Head,379000.0
43 John Street,944.0,2.5,2.0,House,40.637892,-74.142338,Elm Park,305000.0
146 Ardsley,3200.0,3.0,5.0,House,40.57139969,-74.13500214,Richmondtown,1480000.0
132 Lander Avenue,1680.0,2.5,3.0,Townhouse,40.61360168,-74.16349792,Graniteville,548000.0
484 Sharrots Road,26000.0,12.0,1.0,Building,40.53749847,-74.23500061,Charleston,1900000.0
80 Bay Street Landing #1F,1864.0,2.5,2.0,Condo,40.6393013,-74.07409668,Saint George,789000.0
30 Walker Drive,935.0,1.5,2.0,House,40.63100052,-74.14980316,Mariners Harbor,275000.0
415 Winchester Avenue,1040.0,1.5,3.0,House,40.54180145,-74.16010284,Eltingville,529999.0
401 Broadway,3300.0,3.0,6.0,Multi-family,40.63140106,-74.11650085,West Brighton,635000.0
174 Holland Avenue,1800.0,2.0,3.0,House,40.63610077,-74.17120361,Port Ivory,400000.0
892 Richmond Avenue,1400.0,2.5,3.0,House,40.6257019,-74.14839935,Elm Park,420000.0
202 Adams Avenue,1200.0,2.0,3.0,House,40.58089828,-74.1013031,Grant City,499000.0
484 Sharrots Road,26000.0,12.0,1.0,Building,40.53749847,-74.23500061,Charleston,1900000.0
80 Bay Street Landing #1F,1864.0,2.5,2.0,Condo,40.6393013,-74.07409668,Saint George,789000.0
7 Keating Place,1600.0,2.5,3.0,Townhouse,40.5929985,-74.15529633,Staten Island,575000.0
88 Chandler Avenue,960.0,1.0,2.0,Townhouse,40.61410141,-74.12560272,Westerleigh,389900.0
175 Hett Avenue,1800.0,1.5,3.0,House,40.56209946,-74.10469818,New Dorp Beach,549999.0
23 Jefferson Avenue,1100.0,1.0,3.0,House,40.58570099,-74.10430145,Dongan Hills,510000.0
285 South Avenue,1960.0,2.0,6.0,Multi-family,40.63249969,-74.16600037,Mariners Harbor,499900.0
762 Armstrong Avenue #762,1248.0,1.0,3.0,House,40.5530014,-74.16040039,Eltingville,469999.0
31 Marvin Road,2466.0,4.5,4.0,Multi-family,40.53630066,-74.21700287,Rossville,770000.0
484 Sharrots Road,26000.0,12.0,1.0,Building,40.53749847,-74.23500061,Charleston,1900000.0
80 Bay Street Landing #1F,1864.0,2.5,2.0,Condo,40.6393013,-74.07409668,Saint George,789000.0
112 10th Street,1562.0,2.0,3.0,House,40.57009888,-74.11630249,New Dorp,648888.0
1068 Sinclair Avenue,2400.0,3.5,4.0,House,40.5379982,-74.21160126,Rossville,929900.0
55 Jefferson Avenue,2408.0,1.5,3.0,House,40.58499908,-74.10350037,Dongan Hills,588000.0
289 Deal Ct,1530.0,1.5,3.0,House,40.61109924,-74.06759644,Shore Acres,738888.0
132 Lander Avenue,1260.0,1.5,3.0,House,40.61360168,-74.16349792,Bulls Head,548000.0
20 Seth Loop,2055.0,3.5,3.0,Townhouse,40.61009979,-74.0664978,Shore Acres,598000.0
155 Burgher Avenue,912.0,2.0,2.0,House,40.5931015,-74.0923996,Dongan Hills,499000.0
108 Coddington Avenue,1248.0,2.0,3.0,House,40.57020187,-74.11160278,New Dorp,448000.0
484 Sharrots Road,26000.0,12.0,1.0,Building,40.53749847,-74.23500061,Charleston,1900000.0
80 Bay Street Landing #1F,1864.0,2.5,2.0,Condo,40.6393013,-74.07409668,Saint George,789000.0
1988 Arthur Kill Road,1100.0,1.5,2.0,House,40.55569839,-74.20140076,Huguenot,352000.0
15 Geldner Avenue,1794.0,2.0,3.0,House,40.57580185,-74.12220001,Egbertville,689900.0
